SN,IQ,Interview1,Interview2,Interview3,Interview4,Interview5,Interview6,Interview7,Interview8
D-IQ1.1,How do you usually find out about feature or enhancement requests that come from community discussions or forums?,Issue Tracker Monitoring,"Self Initiated, Issue Tracker Monitoring, Direct Stakeholder Communication","Issue Tracker Monitoring, Direct Stakeholder Communication",Issue Tracker Monitoring,"Issue Tracker Monitoring, Direct Stakeholder communication, Community Forum Monitoring",Direct Stakeholder Communication,"Issue Tracker Monitoring, Direct Stakeholder Communication","Issue Tracker Monitoring, Direct Stakeholder Communication"
D-IQ1.2,What are the details included in the received Feature Request?,"Technical implementation details, High-level intent description",High-level intent description,Limited or indirect request visibility,High-level intent description,High-level intent description,High-level intent description,High-level intent description,High-level intent description
D-IQ2.1,When do you communicate with users/requesters about the feature request?,Clarification-seeking communication,Clarification-seeking communication,No direct user communication,Intent elicitation,Clarification-seeking communication,Reformulation-driven communication,Clarification-seeking communication,Reformulation-driven communication
D-IQ2.2,What do you ask users/requests about the feature request when communicating?,"Usage and context information, Reproduction steps and evidence",No additional information requested,No additional information requested,Scenario / use-case descriptions,"Usage and context information, Reproduction steps and evidence",No additional information requested,Missing details and constraints,Supporting artifacts
D-IQ2.3,Where do you usually communicate with the request?,Issue tracker-based communication,"Issue tracker-based communication, Direct user communication",Internal team-mediated communication,Issue tracker-based communication,Issue tracker-based communication,Direct user communication,Direct user communication,Issue tracker-based communication
D-IQ3,"What factors influence prioritization - technical complexity, alignment with project goals, or community demand?",Developer-driven prioritization,Effort-based prioritization,Community-driven prioritization,"Effort-based prioritization, Developer-driven prioritization","Developer-driven prioritization, Technical complexity-based prioritization",Organization-driven prioritization,"Organization-driven prioritization, Impact-based prioritization","Community-driven prioritization, Effort-based prioritization"
D-IQ4.1,"Do you use any tagging, linking, or tracking mechanisms between community spaces and issue trackers?","Manual cross-platform search, Manual linking between platforms",No cross-platform linkage,Manual linking between platforms,"Manual cross-platform search, Manual linking between platforms",Manual cross-platform search,No cross-platform linkage,Internal-only traceability,No cross-platform linkage
D-IQ4.2,"When a feature idea comes from a community forum, how does it get turned into a formal issue in your tracker?",No formal intake process,No formal intake process,Third-party mediated formalization,Scenario-based reformulation,No formal intake process,Structured requirements formalization,No formal intake process,No formal intake process
D-IQ4.3,What practices or tools could make it easier to connect user feedback with development workflows?,"Need for structured triage process, Need for clearer role ownership",Need for improved communication practices,Perceived sufficiency of current process,Need for improved communication practices,Perceived sufficiency of current process,Perceived sufficiency of current process,Need for more accessible request platforms,Need for improved communication practices
,,,,,,,,,
